S.No,Hospital Name,Hospital Type,District,Mandal,Municipality,Mithra Name (Mobile Number),Specialities
153,CHC Mudhole,Government-TVVP,Nirmal,Mudhole,-,Gatupalli Swapna (6302605520),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
154,CHC Nadigudem,Government-TVVP,Suryapet,Nadigudem,-,Rajeshwari Konda(8096099745); Rajeshwari Konda(8096099745),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
155,CHC Navipet,Government-TVVP,Nizamabad,Navipet,Bodhan,Neeradi Swaroopa (7075455478),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
156,CHC NelakondaPally,Government-TVVP,Khammam,Nelakondapally,-,N.Kishore (9010667572); Dara.Praveen Kumar (9618428377),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
157,CHC Palem,Government-TVVP,Nagarkurnool,Bijinapalle,-,G.Moulali (9985472602); Md.Sameer Baba (9704400164); B.Srisailam (9705514288); P.Vishnu (9490470264),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
158,CHC Paloncha,Government-TVVP,Bhadradri Kothagudem,Palwancha,Palwancha,Dr.M.Mukkanteswarrao (9951571973); Madakam.Chirumappa (9951571973); B.Ramu (9640911565),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
159,CHC Penuballi,Government-TVVP,Khammam,Penubally,-,Shaik.Mahaboobi (9490905472); Dr Vasumathi Devi(9490905472); Ubbana.Krishna Veni (8639927333),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
160,CHC Pitlam,Government-TVVP,Kamareddy,Pitlam,Yellareddy,Kadige Kashamani (9182293177),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
161,CHC Raikal,Government-TVVP,Jagtial,Raikal,Raikal,Mamidi Anjaneyulu (7674094879),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
162,CHC Ramannapet,Government-TVVP,Yadadri Bhuvanagiri,Ramannapeta,-,Dr.Kirankumar (9642541615); Jala Satyanarayana (9849772269); Manda Chandraiah (9505943799); Salabadri Mahender (9666797940),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
163,CHC Ramayampet,Government-TVVP,Medak,Ramayampet,-,Kummari Bhramhanandam (7995286578),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
164,CHC Revelly,Government-TVVP,Wanaparthy,Revally,-,Ramulu (9160169100),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
165,CHC Sadashivepet,Government-TVVP,Sangareddy,Sadasivpet,Sadasivpet,Macharuri Chandrakala (8897815705),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
166,CHC Shameerpet,Government-TVVP,Medchal-Malkajgiri,Shamirpet,-,Dr.Divya Shruthi (9032477779),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
167,CHC Sirpur,Government-TVVP,Komaram Bheem Asifabad,Sirpur (T),-,Jalda.Sujatha (7989362733); Dusha Mandakini (6301005834); Borkut Prameela (9985015723),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
168,CHC Tiryani,Government-TVVP,Komaram Bheem Asifabad,Tiryani,-,Gorlapalli Ramadevi (9963989549); Jodi Laxmanrao (9948229478); Arjun (8897028728),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
169,CHC Toopran,Government-TVVP,Medak,Tupran,-,D.Narendher (7989733606),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
170,CHC Uppununthala,Government-TVVP,Nagarkurnool,Uppununthala,-,Sharada (6303656661); Malle Parashuramulu (9705360766),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
171,CHC Varni,Government-TVVP,Nizamabad,Varni,-,Lokula Sailu (9492011103),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
172,CHC Veepangandla,Government-TVVP,Wanaparthy,Weepangandla,-,Govind (9603837700),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
173,CHC Venkatapuram,Government-TVVP,Mulugu,Venkatapuram,-,Payala.Vasantha Kumari (9440634758); G.Krishnaiah (9951053571),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
174,CHC Yacharam,Government-TVVP,Rangareddy,Yacharam,-,B.Suvarna (7013542496),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
175,CHC Yellareddypet,Government-TVVP,Rajanna Sircilla,Yellareddipet,-,Dacharam Srinivas (9963613990); Dr.L.Dharma (9963613990),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
