HCO Name,Address,Contact,Accreditation Number (Acc. No.),Accreditations / Certifications
Krishana Hospital,"PLOT NO,5,740/2,A WARD,NEAR SAMBHAJINAGAR S.T.STAND, Kolhapur, Maharashtra, 416011",Visit Website +91 231 232 6622,PESHCO-2022-7058,Certified
Krishiv Orthopedic & Surgical Superspeciality Hospital,"Pushkar Icon, Above Croma Show Room, Near Kalyan Chowk, Nikol, Ahmedabad, Ahmedabad, Gujarat, 382350",Visit Website +91 98255 61144,PESHCO-2023-7578,Certified
Krishna Ayurvedam Panchkarma Hospital,Krishna Ayurvedam Panchkarma Hospital Ahmedabad Gujarat,NA,EAH-2026-0163,Certified
Krishna Cancer Hospital,"60 Sahyog Vihar NEAR SHAHPURA POLICE STATION BHOPAL ,BHOPAL Madhya Pradesh 462039, Bhopal, Madhya Pradesh, 462039",NA,SHCO-2021-0431,Accredited
Krishna Centre For Joint Replacement & Advance Orthopedic Surgery,"3RD FLOOR, 301-303 AND 307-309, MAKARAND DESAI ROAD, VASANA PETROL PUMP , Vadodara, Gujarat, 390007",NA,PESHCO-2023-7626,Certified
"Krishna Charitable Hospital and Medical Research Centre, Karad - (Earlier Certificate issued in the Name of Krishna Hospital and Medical Research Center)","KHMRC, Dhebewadi Road, Malkapur, Satara Karad - 415539, Maharashtra, Karad, Satara, Maharashtra, 415539",+91 2164 241 456,H-2016-0410,Accredited
Krishna Children Hospital,"Krishna Children Hospital, Mayfair Road, Near Ahimsa Chowk, Near Pioneer High School, Anand, Gujarat, Anand, Gujarat, 388001",NA,PESHCO-2022-6534,Certified
Krishna Children Hospital,"2nd & 3rd floor, dream square, opp. Ramdevpir temple,Akhbarnagar, Ahmedabad, Gujarat, 380013",NA,PESHCO-2021-4142,Certified
Krishna Clinic & Nursing Home (A Unit of Moroli Hospital Pvt. Ltd.),"B-11, Major shaitan Singh colony, shastri Nagar, Jaipur. , Jaipur, Rajasthan, 302016",NA,SHCO-2025-1357,Accredited
KRISHNA CLINIC AND NURSING HOME A UNIT OF MOROLI HOSPITAL PVT LTD,"SHASTRI NAGAR, KULLU, HP, Jaipur, Rajasthan, 175101",NA,HOS/2023/C1145,Empaneled
Krishna Dental Clinic,Krishna Dental Clinic Delhi Delhi,NA,D-2026-0600,Accredited
"Krishna Dental Clinic, RZP-1, Raj Nagar-II","Krishna Dental Clinic, RZP-1, Raj Nagar-II Delhi Delhi",NA,2018-0937,Empaneled
KRISHNA DEVI MULTISPECIALITY HOSPITAL Unit of Lofty Healthcare Pvt. Ltd.,KRISHNA DEVI MULTISPECIALITY HOSPITAL Unit of Lofty Healthcare Pvt. Ltd. Sitamarhi Bihar,NA,HOS/2024/E1643,Empaneled
krishna diagnostic center,"r 20, sector a, r k puram, Kota, Rajasthan, 324010",NA,LAB/2022/C0027,Empaneled
KRISHNA EYE CENTRE PVT LTD,"A-2 , TRUST HOUSE, GLENEAGLES ANNEXE , DR E BORGES ROAD PAREL MUMBAI MAHARASHTRA, Mumbai City, Maharashtra, 400012",NA,EYE/2024/C0472,Empaneled
Krishna Eye Hospital,"Plot no. 1760- SP, Sector-4, , Rewari, Rewari, Rewari, Haryana, India, 123401",NA,ECO-2026-0654,Accredited
Krishna Eye Hospital,Krishna Eye Hospital Mahendragarh Haryana,+91 97288 80629,EYE/2022/E0101,Empaneled
Krishna Eye Hospital,Krishna Eye Hospital Mahendragarh Haryana,+91 97288 80629,2016-0851,Empaneled
"Krishna Eye Hospital, Kanina Road","Krishna Eye Hospital, Kanina Road Rewari Haryana",+91 1274 220 851,2019-1622,Empaneled
"Krishna Eye Hospital, Mahendergarh","Singhana Road, Narnaul, Narnaul, Mahendergarh, Haryana, India, 123001",Visit Website +91 99584 21728,ECO-2023-0426,Accredited
"Krishna Eye Hospital, Mahendergarh Road","Krishna Eye Hospital, Mahendergarh Road Narnaul Haryana",Visit Website +91 99584 21728,2016-0897,Empaneled
Krishna Eye Institute,"The Big World Building, Soman Sun City, Opp Bhoirwadi Bus Stop, Birla College Road, Kalyan (W) , Thane, Maharashtra, 421301",Visit Website +91 251 231 3399,PESHCO-2022-6341,Certified
Krishna Heart & General Hospital,"138, Prem Niwas, Pandit T.N Mishra Road Swami Vihar, Nirman Nagar Jaipur - 302019, Rajasthan",Visit Website +91 70457 89531,H-2025-1536,Accredited
Krishna Hospital,Krishna Hospital Kasargod Kerala,+91 94460 11999,PESHCO-2023-8559,Certified
Krishna Hospital,"Old Jhajjar Road, Charkhi Dadri, Charkhi Dadri, Charkhi Dadri, Haryana, India, 127306",NA,ECO-2020-0129,Accredited
Krishna Hospital,"Near Medical College, Tili Ward, Sagar, Sagar, Madhya Pradesh, 470002",NA,PESHCO-2024-9374,Certified
Krishna Hospital,"""VIJAYANAND"" PLOT NO 5, RS NO. 740/2, A WARD NEAR SAMBHAJINAR ST STAND, KOLHAPUR, Kolhapur, Maharashtra, 416012",NA,HOS/2022/E0475,Empaneled
Krishna Hospital,"MANGLAM VIHAR, PLOT NO. 56, KOSABADI, KORBA C.G., Korba, Chattisgarh, 495677",Visit Website +91 77710 05425,PEH-2025-2817,Certified
Krishna Hospital,"AZIZGANJ, SHAHJAHANPUR, UTTAR PRADESH. (242001), Shahjahanpur, Uttar Pradesh, 242001",NA,PESHCO-2025-11153,Certified
Krishna Hospital,"17-A, HOSPITAL ROAD, MANJAKUPPAM, CUDDALORE, CUDDALORE, Tamil Nadu, India, 607001",NA,PEH-2016-0136,Certified
Krishna Hospital,"Back Side Dawat Sweets & Canara Bank, Malerkotla Rd, Khanna, Punjab 141401, Ludhiana, Punjab, 141401",NA,PESHCO-2022-6228,Certified
Krishna Hospital,"BEHIND KESHAVRAJ SCHOOL, SHYAM NAGER, LATUR, LATUR, Maharashtra, India, 413531",Visit Website +91 2382 228 490,PESHCO-2019-1628,Certified
Krishna Hospital,"MAIN ROAD, KRISHNA HOSPITAL, SATTUR,377, VIRUDHUNAGAR, Tamil Nadu, India, 626203",Visit Website +91 4562 260 192,PESHCO-2018-0433,Certified
Krishna Hospital,Krishna Hospital Jind Haryana,NA,PESHCO-2026-11831,Certified
Krishna Hospital,Krishna Hospital Rewari Haryana,NA,H-2026-1762,Accredited
Krishna Hospital,"PAUD ROAD, KOTHRUD, PUNE, PUNE, Maharashtra, India, 411038",Visit Website +91 20 4140 3700,PESHCO-2018-0885,Certified
"Krishna Hospital & Research Centre, 3/136, Gurunanak Pura","Krishna Hospital & Research Centre, 3/136, Gurunanak Pura Haldwani (Nanital) Uttarakhand",Visit Website +91 2692 228 411,2018-1429,Empaneled
Krishna Hospital and Research Centre,"Guru Nanak Pura, Haldwani Nainital - 263139, Uttarakhand",Visit Website +91 5946 222 426,H-2021-0878,Accredited
Krishna Hospital Multispeciality LLP,"PLOT NO 2 , NEAR MOHIBULLAPUR RAILWAY STATION, SITAPUR ROAD, MADIYAON, LUCKNOW, Lucknow, Uttar Pradesh, 226021",Visit Website +91 88532 91388,PESHCO-2024-10078,Certified
"Krishna Hospital, Anjanwel, Prashant Society, Paud Road, Kothrud","Krishna Hospital, Anjanwel, Prashant Society, Paud Road, Kothrud Pune Maharashtra",NA,2015-0045,Empaneled
"Krishna Hospital, Charkhi Dadri","Krishna Hospital, Charkhi Dadri Bhiwani Haryana",Visit Website,2016-0913,Empaneled
"Krishna Hospital, Old Jhajjar Road, Charkhi Dadri","Krishna Hospital, Old Jhajjar Road, Charkhi Dadri Bhiwani Haryana",NA,2012-0093,Empaneled
"Krishna Institute of Medical Science, Dargamitta, Ambedkar Nagar","Krishna Institute of Medical Science, Dargamitta, Ambedkar Nagar Nellore Andhra Pradesh",+91 861 231 5835,2015-0620,Empaneled
Krishna Institute of Medical Sciences,"1-112/86,SURVEY No-5/ EE SERILLINGAMPALLY, Rangareddy, Telangana, 500084",NA,DH-G-2024-0005,Accredited
Krishna Institute of Medical Sciences Ltd.,"1-8-31/1, MINISTER ROAD SECUNDERABAD ,HYDERABAD Telangana 500003 India, Secunderabad, Andhra Pradesh, 500003",+91 40 4488 5083,H-2011-0096,Accredited
Krishna Institute of Medical Sciences Ltd.,"4-120/A, Beside Agriculture Market Mukthinuthalapadu, North Bypass Road, N.H. -5, Ongole Prakasam - 523001, Andhra Pradesh",NA,H-2022-1028,Accredited
Krishna Institute of Medical Sciences Ltd.,"1-8-31/1,, Minister Road, Secunderabad, Secunderabad, Telangana, India, 500003",+91 40 4488 5083,N-2024-0256,Certified
Krishna Institute of Medical Sciences Ltd.,", , , , ,",NA,E-2020-0034,Certified
Krishna Institute of Medical Sciences Ltd. (KIMS),"7-77-77, SeelamNookaraju Complex, 7-77-77, SeelamNookaraju Complex, Rajamahendravaram, Rajamahendravaram, Andhra Pradesh, India, 533101",Visit Website +91 883 247 7779,H-2017-0461,Accredited
"Krishna Institute of Medical Sciences Ltd., #4-120/A North Byepass Road NH-5, Backside Agricultural Market Yard Mukthinuthalapadu, Ongole","Krishna Institute of Medical Sciences Ltd., #4-120/A North Byepass Road NH-5, Backside Agricultural Market Yard Mukthinuthalapadu, Ongole Ongole Andhra Pradesh",NA,2021-1967,Empaneled
Krishna Kumar Orthopaedic Hospital & Institute of Orthopaedics Pvt. Ltd.,Krishna Kumar Orthopaedic Hospital & Institute of Orthopaedics Pvt. Ltd. Nagercoil Tamil Nadu,NA,H-2026-1811,Accredited
"Krishna Kumar Orthopaedic Hospital and Institute of Orthopaedic Pvt. Ltd., 15/83E, Over Bridge, Parvathipuram, Chunkankadai Post","Krishna Kumar Orthopaedic Hospital and Institute of Orthopaedic Pvt. Ltd., 15/83E, Over Bridge, Parvathipuram, Chunkankadai Post Kanyakumari Tamil Nadu",Visit Website +91 4652 231 322,2013-0264,Empaneled
"Krishna Life Line Hospital, Main Road, Telebagh","Krishna Life Line Hospital, Main Road, Telebagh Lucknow Uttar Pradesh",NA,2018-0812,Empaneled
Krishna Medical Center,"1, Rana Pratap Marg, Hazratganj, Lucknow, Uttar Pradesh 226001, Lucknow, Uttar Pradesh, 226001",Visit Website +91 522 261 6064,PEH-2024-2757,Certified
"Krishna Medical Centre (A Multi Speciality Hospital), 22-Inder Road, Dalanwala","Krishna Medical Centre (A Multi Speciality Hospital), 22-Inder Road, Dalanwala Dehradun Uttarakhand",NA,2015-0310,Empaneled
"Krishna Medical Centre, Dalanwala","Krishna Medical Centre, Dalanwala Dehradun Uttarakhand",NA,PESHCO-2019-1267,Certified
